0 Feb 28 21:43:09 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 72 | FLUSHED: 0 | Pages in INACTIVE Queue: 1635 | Pages in ACTIVE Queue: 138300 
1 Feb 28 21:43:10 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 4 | FLUSHED: 0 | Pages in INACTIVE Queue: 1639 | Pages in ACTIVE Queue: 430541 
2 Feb 28 21:43:11 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1639 | Pages in ACTIVE Queue: 691162 
3 Feb 28 21:43:12 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1639 | Pages in ACTIVE Queue: 591676 
4 Feb 28 21:43:13 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1639 | Pages in ACTIVE Queue: 561469 
5 Feb 28 21:43:14 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1639 | Pages in ACTIVE Queue: 853661 
6 Feb 28 21:43:15 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1639 | Pages in ACTIVE Queue: 811272 
7 Feb 28 21:43:16 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1639 | Pages in ACTIVE Queue: 751013 
8 Feb 28 21:43:17 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1639 | Pages in ACTIVE Queue: 621720 
9 Feb 28 21:43:18 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1639 | Pages in ACTIVE Queue: 830416 
10 Feb 28 21:43:19 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1639 | Pages in ACTIVE Queue: 807459 
11 Feb 28 21:43:20 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1639 | Pages in ACTIVE Queue: 851003 
12 Feb 28 21:43:21 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 137 | FLUSHED: 0 | Pages in INACTIVE Queue: 1776 | Pages in ACTIVE Queue: 811092 
13 Feb 28 21:43:22 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1776 | Pages in ACTIVE Queue: 819027 
14 Feb 28 21:43:23 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 15 | FLUSHED: 0 | Pages in INACTIVE Queue: 1791 | Pages in ACTIVE Queue: 733153 
15 Feb 28 21:43:24 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1791 | Pages in ACTIVE Queue: 889020 
16 Feb 28 21:43:25 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 1 | FLUSHED: 0 | Pages in INACTIVE Queue: 1792 | Pages in ACTIVE Queue: 812805 
17 Feb 28 21:43:26 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1792 | Pages in ACTIVE Queue: 655730 
18 Feb 28 21:43:27 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 1 | FLUSHED: 0 | Pages in INACTIVE Queue: 1793 | Pages in ACTIVE Queue: 606399 
19 Feb 28 21:43:28 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1793 | Pages in ACTIVE Queue: 659108 
20 Feb 28 21:43:29 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1793 | Pages in ACTIVE Queue: 748814 
21 Feb 28 21:43:30 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 5 | FLUSHED: 0 | Pages in INACTIVE Queue: 1798 | Pages in ACTIVE Queue: 674059 
22 Feb 28 21:43:31 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 0 | FLUSHED: 0 | Pages in INACTIVE Queue: 1798 | Pages in ACTIVE Queue: 787725 
23 Feb 28 21:43:32 miko kernel: Active Scanned. | INAC to ACT: 0 | INAC to CACHE/FREE: 0 | ACT to INAC: 197 | FLUSHED: 0 | Pages in INACTIVE Queue: 1995 | Pages in ACTIVE Queue: 792550 
